Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
56,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30-324,1991,11.7,1,0,0,17,9,0,4,19,29,1,0,0,125,4,7,36.4,Matches
57,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26-274,1995,8.1,0,0,0,7,20,1,14,7,7,0,0,0,43,6,12,33.3,Matches
58,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,25-231,1996,5.7,1,0,0,8,11,1,2,11,7,1,0,0,36,7,11,38.9,Matches
59,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,eng Premier League,27-291,1994,8.0,1,0,0,7,12,2,11,10,12,0,0,0,51,3,5,37.5,Matches
60,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30-335,1990,5.9,2,0,0,12,12,0,20,14,6,0,0,0,46,12,6,66.7,Matches
61,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-111,1998,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,Matches
62,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-160,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
63,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26-308,1995,5.0,3,0,0,10,4,1,0,15,8,0,0,0,70,15,11,57.7,Matches
64,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-081,1998,1.0,0,0,0,2,3,0,2,1,2,0,0,0,16,1,4,20.0,Matches
65,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-008,2001,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7,Matches
66,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26-342,1994,6.7,1,0,0,7,6,0,0,8,3,0,0,0,63,12,12,50.0,Matches
67,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-135,1996,6.3,4,0,0,12,15,5,4,7,12,0,0,0,22,1,12,7.7,Matches
68,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27-264,1994,1.4,0,0,0,3,1,0,2,1,3,0,0,0,4,3,2,60.0,Matches
69,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23-293,1998,7.6,1,1,0,12,4,0,9,18,13,0,0,0,36,8,11,42.1,Matches
70,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-032,1996,3.9,0,0,0,0,12,0,3,4,5,0,0,0,33,1,3,25.0,Matches
71,Ethan Ampadu\10b9fa99,wls WAL,MF,Venezia,it Serie A,21-075,2000,6.1,4,1,0,11,7,0,0,13,11,0,0,0,62,9,7,56.3,Matches
72,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-099,1996,2.3,2,0,0,7,1,0,2,3,6,0,0,0,24,1,4,20.0,Matches
73,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-181,1996,11.4,3,0,0,7,3,0,3,29,8,0,0,0,86,23,17,57.5,Matches
74,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28-227,1993,12.1,1,0,0,14,17,3,32,13,14,0,0,0,66,5,6,45.5,Matches
75,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-136,1991,6.2,2,0,0,15,11,4,7,2,4,0,0,0,14,20,37,35.1,Matches
76,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28-231,1993,1.2,0,0,0,1,1,2,0,0,0,0,0,0,4,6,12,33.3,Matches
77,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-043,1998,2.4,1,0,0,2,1,0,3,4,2,0,0,0,23,4,5,44.4,Matches
78,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-117,1990,13.6,4,0,0,36,31,1,5,39,33,0,1,0,159,50,32,61.0,Matches
79,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-067,1994,5.1,1,1,0,10,7,1,0,17,8,0,0,0,61,13,9,59.1,Matches
80,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-084,1989,3.1,0,1,0,2,1,0,5,5,7,0,0,0,31,5,1,83.3,Matches
81,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24-328,1997,7.4,3,0,0,8,12,0,44,12,4,0,0,0,56,11,3,78.6,Matches
82,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-069,1986,3.8,0,0,0,3,4,2,18,3,4,0,0,0,30,2,2,50.0,Matches
83,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-102,2002,6.0,0,0,0,10,5,2,4,3,10,0,0,0,18,6,16,27.3,Matches
84,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-131,1996,9.9,2,1,0,6,5,0,7,22,12,0,0,0,84,29,22,56.9,Matches
85,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-144,2000,0.6,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,,Matches
86,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31-245,1990,10.9,4,1,1,18,23,6,18,5,13,0,0,0,55,19,54,26.0,Matches
87,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27-294,1994,4.2,1,0,0,7,10,5,13,3,7,0,0,0,21,5,20,20.0,Matches
88,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-151,1998,11.2,0,0,0,11,26,0,5,16,11,0,0,0,73,4,9,30.8,Matches
89,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-136,2002,3.8,2,0,0,4,3,2,8,6,4,0,0,0,27,6,4,60.0,Matches
90,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-172,1992,7.7,1,0,0,13,0,0,12,14,12,0,0,1,55,11,15,42.3,Matches
91,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-059,1995,10.9,3,0,0,25,24,0,11,18,19,0,1,0,85,8,13,38.1,Matches
92,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,it Serie A,26-198,1995,7.4,4,0,0,10,24,2,16,6,3,0,0,0,32,2,15,11.8,Matches
93,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32-225,1989,5.7,1,0,0,6,5,0,1,13,13,0,0,0,56,2,7,22.2,Matches
94,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-091,1991,10.0,2,0,0,10,5,0,1,20,5,0,0,0,102,26,20,56.5,Matches
95,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22-266,1999,6.4,2,0,0,6,6,0,1,16,6,0,0,0,53,21,6,77.8,Matches
