Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
102,Mirko Antonucci\91976866,it ITA,FW,Roma,it Serie A,18,1999,0.3,2,6.00,2,0,0,0,0,0,1,3.00,1,0,0,0,0,0,Matches
103,Vitorino Antunes\3e4f735d,pt POR,DF,Getafe,es La Liga,30,1987,31.1,52,1.67,27,20,2,1,0,2,3,0.10,2,1,0,0,0,0,Matches
104,Dennis Aogo\c311243f,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,40,1.84,26,13,0,1,0,0,6,0.28,2,3,0,1,0,0,Matches
105,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,98,3.63,72,1,6,6,9,4,12,0.44,10,0,0,2,0,0,Matches
106,Alberto Aquilani\ad340e17,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,21,1.46,20,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
107,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,21,1995,23.6,17,0.72,11,0,0,2,2,2,2,0.08,1,0,0,1,0,0,Matches
108,Guilherme Arana\2b15a82a,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,59,2.31,49,4,0,2,1,3,6,0.23,4,1,0,0,0,1,Matches
110,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,52,2.32,38,2,5,5,2,0,7,0.31,6,0,0,0,1,0,Matches
111,Sergio Araujo\080ac8d8,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,2,4.62,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,30,1987,26.8,32,1.19,24,3,1,2,0,2,5,0.19,4,0,0,1,0,0,Matches
113,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Scott Arfield\b1313ec4,ca CAN,MF,Burnley,eng Premier League,28,1988,14.8,21,1.42,12,0,3,3,3,0,3,0.20,1,0,1,0,1,0,Matches
115,Samuel Armenteros\9c8f641a,se SWE,FW,Benevento,it Serie A,27,1990,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Yoël Armougom\9dd5da03,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,José Arnaiz\46e07328,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Marko Arnautović\00459419,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,65,2.53,39,2,14,3,4,3,14,0.54,6,0,5,2,0,1,Matches
119,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,72,2.64,46,19,1,1,4,1,3,0.11,2,1,0,0,0,0,Matches
120,Jann-Fiete Arp\c21fb312,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,13,1.38,5,0,4,1,1,2,1,0.11,0,0,1,0,0,0,Matches
121,Alejandro Arribas\cc29324e,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Kepa Arrizabalaga\28d596a0,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Harry Arter\2f4c5a52,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,18,1.69,15,1,0,0,0,2,1,0.09,0,0,0,0,0,1,Matches
124,Aythami Artiles\01ae64cd,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,1,0.49,1,0,0,0,0,0,1,0.49,1,0,0,0,0,0,Matches
125,Kwadwo Asamoah\089550f5,gh GHA,DF,Juventus,it Serie A,28,1988,17.4,31,1.78,27,1,1,0,2,0,4,0.23,3,0,1,0,0,0,Matches
126,Takuma Asano\13ddc856,jp JPN,FWMF,Stuttgart,de Bundesliga,22,1994,8.0,19,2.37,16,0,2,0,0,1,1,0.12,1,0,0,0,0,0,Matches
127,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Stuttgart,de Bundesliga,20,1997,26.5,25,0.95,17,0,1,2,4,1,1,0.04,0,0,0,1,0,0,Matches
128,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,21,1996,20.5,100,4.88,80,9,4,4,3,0,13,0.63,13,0,0,0,0,0,Matches
130,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,29,1987,32.6,114,3.49,89,5,12,3,4,1,15,0.46,11,0,4,0,0,0,Matches
131,Benoît Assou-Ekotto\a557e6b0,cm CMR,DF,Metz,fr Ligue 1,33,1984,11.7,15,1.28,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Simon Asta\dfc85b89,de GER,MF,Augsburg,de Bundesliga,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Davide Astori\1522dab2,it ITA,DF,Fiorentina,it Serie A,30,1987,25.0,19,0.76,18,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
134,Christian Atsu\8816329f,gh GHA,FWMF,Newcastle Utd,eng Premier League,25,1992,19.8,46,2.32,34,1,6,1,4,0,6,0.30,3,0,1,1,1,0,Matches
